name,date,equity,equity%,fixed income,fixed income%,alternative,alternative%,multi-asset,multi-asset%,money market,money market%,file
08. Templeton Investments (US),2009,nan,47%,nan,33%,nan,nan,nan,19%,nan,nan,/home/gabor/Work/PDFMining./docs/08. Templeton Investments (US) 2009.pdf#page=8
08. Invesco (US),2010,$294.1,nan,$131.9,nan,nan,nan,nan,nan,$68.3,nan,/home/gabor/Work/PDFMining./docs/08. Invesco (US) 2010.pdf#page=8
